X,Result(X)
-5,3.38051500624658
-4.9,5.26749306582674
-4.8,11.3848706542427
-4.7,-80.7127629674841
-4.6,-8.86017489564818
-4.5,-4.63733205455123
-4.4,-3.09632378064976
-4.3,-2.285847877367
-4.2,-1.77777977450885
-4.1,-1.42352648319438
-4,-1.15782128234959
-3.9,-0.947424649935899
-3.8,-0.773556090503132
-3.7,-0.624733075224568
-3.6,-0.493466729984908
-3.5,-0.374585640158599
-3.4,-0.264316900867429
-3.3,-0.159745747660035
-3.2,-0.0584738544595817
-3.1,0.0416166545856332
-3,0.142546543074275
-2.9,0.246405393971963
-2.8,0.355529831651173
-2.7,0.472727629103035
-2.6,0.601596613089756
-2.5,0.747022297238657
-2.4,0.916014289673406
-2.3,1.11921364173413
-2.2,1.37382305676879
-2.1,1.7098465429045
-2,2.18503986326151
-1.9,2.92709751467776
-1.8,4.28626167462803
-1.7,7.69660213945907
-1.6,34.2325327355557
-1.5,-14.101419947172
-1.4,-5.79788371548293
-1.3,-3.602102447968
-1.2,-2.57215162212633
-1.1,-1.96475965724866
-1,-1.55740772465491
-0.900000000000001,-1.26015821755034
-0.800000000000001,-1.02963855705037
-0.700000000000001,-0.842288380463081
-0.600000000000001,-0.684136808341694
-0.500000000000001,-0.546302489843792
-0.400000000000001,-0.422793218738163
-0.300000000000001,-0.309336249609624
-0.200000000000001,-0.202710035508674
-0.100000000000001,-0.100334672085452
-1.02695629777827e-15,-1.02695629777827e-15
0.099999999999999,10.8164612968225
0.199999999999999,6.37656529595401
0.299999999999999,4.32007076664679
0.399999999999999,3.10300021079456
0.499999999999999,2.29732291005778
0.599999999999999,1.72876553060888
0.699999999999999,1.31101288706216
0.799999999999999,0.995766041344129
0.899999999999999,0.753627277906984
0.999999999999999,nan
1.1,0.418653741991659
1.2,0.303791210279992
1.3,0.214357969474669
1.4,0.145421723157353
1.5,0.0932272126914787
1.6,0.0548627876027072
1.7,0.0280350926963507
1.8,0.0109128066996291
1.9,0.002015790046379
2,0.000134866270792327
2.1,0.00427273940376892
2.2,0.0135997887211494
2.3,0.0274205242905231
2.4,0.045147805660109
2.5,0.0662827964732055
2.6,0.090399213591708
2.7,0.11713083060304
2.8,0.146161474961553
2.9,0.177216955417056
3,0.21005849777403
3.1,0.2444773695772
3.2,0.280290449570295
3.3,0.317336553591698
3.4,0.355473370389959
3.5,0.39457489246895
3.6,0.434529251201284
3.7,0.475236884009021
3.8,0.516608975798082
3.9,0.558566128066784
4,0.601037217940814
4.1,0.643958416375446
4.2,0.687272340329506
4.3,0.730927318170782
4.4,0.774876751159648
4.5,0.819078556761039
4.6,0.863494681896485
4.7,0.908090676177887
4.8,0.952835316749233
4.9,0.99770027766877
5,1.04265983784566
