X,Result(X)
-5,0.283662185463227
-4.9,0.186512369422576
-4.8,0.0874989834394477
-4.7,-0.0123886634628891
-4.6,-0.112152526935053
-4.5,-0.210795799430778
-4.4,-0.307332869978418
-4.3,-0.400799172079973
-4.2,-0.490260821340697
-4.1,-0.574823946533266
-4,-0.653643620863609
-3.9,-0.725932304200138
-3.8,-0.790967711914415
-3.7,-0.848100031710407
-3.6,-0.896758416334145
-3.5,-0.936456687290795
-3.4,-0.96679819257946
-3.3,-0.987479769908864
-3.2,-0.998294775794753
-3.1,-0.99913515027328
-3,-0.989992496600446
-2.9,-0.970958165149591
-2.8,-0.942222340668659
-2.7,-0.904072142017062
-2.6,-0.856888753368949
-2.5,-0.801143615546935
-2.4,-0.737393715541247
-2.3,-0.666276021279826
-2.2,-0.588501117255347
-2.1,-0.504846104599859
-2,-0.416146836547144
-1.9,-0.323289566863505
-1.8,-0.227202094693089
-1.7,-0.128844494295526
-1.6,-0.0291995223012902
-1.5,0.0707372016677015
-1.4,0.16996714290024
-1.3,0.267498828624586
-1.2,0.362357754476672
-1.1,0.453596121425576
-1,0.540302305868139
-0.900000000000001,0.621609968270664
-0.800000000000001,0.696706709347164
-0.700000000000001,0.764842187284488
-0.600000000000001,0.825335614909678
-0.500000000000001,0.877582561890372
-0.400000000000001,0.921060994002885
-0.300000000000001,0.955336489125606
-0.200000000000001,0.980066577841241
-0.100000000000001,0.995004165278026
-1.02695629777827e-15,1
0.099999999999999,0.995004165278026
0.199999999999999,0.980066577841242
0.299999999999999,0.955336489125606
0.399999999999999,0.921060994002886
0.499999999999999,0.877582561890373
0.599999999999999,0.825335614909679
0.699999999999999,0.764842187284489
0.799999999999999,0.696706709347166
0.899999999999999,0.621609968270666
0.999999999999999,0.540302305868141
1.1,0.453596121425578
1.2,0.362357754476674
1.3,0.267498828624589
1.4,0.169967142900241
1.5,0.0707372016677041
1.6,-0.0291995223012881
1.7,-0.128844494295525
1.8,-0.227202094693087
1.9,-0.323289566863503
2,-0.416146836547142
2.1,-0.504846104599857
2.2,-0.588501117255345
2.3,-0.666276021279824
2.4,-0.737393715541245
2.5,-0.801143615546934
2.6,-0.856888753368947
2.7,-0.904072142017061
2.8,-0.942222340668659
2.9,-0.970958165149591
3,-0.989992496600446
3.1,-0.999135150273279
3.2,-0.998294775794753
3.3,-0.987479769908865
3.4,-0.966798192579461
3.5,-0.936456687290796
3.6,-0.896758416334146
3.7,-0.848100031710408
3.8,-0.790967711914416
3.9,-0.725932304200139
4,-0.653643620863611
4.1,-0.574823946533268
4.2,-0.490260821340699
4.3,-0.400799172079975
4.4,-0.30733286997842
4.5,-0.21079579943078
4.6,-0.112152526935056
4.7,-0.0123886634628922
4.8,0.0874989834394448
4.9,0.186512369422573
5,0.283662185463224
