X,Result(X)
-5,nan
-4.9,nan
-4.8,nan
-4.7,nan
-4.6,nan
-4.5,nan
-4.4,nan
-4.3,nan
-4.2,nan
-4.1,nan
-4,nan
-3.9,nan
-3.8,nan
-3.7,nan
-3.6,nan
-3.5,nan
-3.4,nan
-3.3,nan
-3.2,nan
-3.1,nan
-3,nan
-2.9,nan
-2.8,nan
-2.7,nan
-2.6,nan
-2.5,nan
-2.4,nan
-2.3,nan
-2.2,nan
-2.1,nan
-2,nan
-1.9,nan
-1.8,nan
-1.7,nan
-1.6,nan
-1.5,nan
-1.4,nan
-1.3,nan
-1.2,nan
-1.1,nan
-1,nan
-0.900000000000001,nan
-0.800000000000001,nan
-0.700000000000001,nan
-0.600000000000001,nan
-0.500000000000001,nan
-0.400000000000001,nan
-0.300000000000001,nan
-0.200000000000001,nan
-0.100000000000001,nan
-1.02695629777827e-15,nan
0.099999999999999,-2.09590327428939
0.199999999999999,-1.46497352071793
0.299999999999999,-1.09590327428939
0.399999999999999,-0.834043767146472
0.499999999999999,-0.630929753571459
0.599999999999999,-0.464973520717929
0.699999999999999,-0.324659525127964
0.799999999999999,-0.203114013575013
0.899999999999999,-0.0959032742893857
0.999999999999999,-1.21268225678173e-15
1.1,0.0867550643547526
1.2,0.16595623285353
1.3,0.238814245183407
1.4,0.306270228443494
1.5,0.369070246428542
1.6,0.427815739996445
1.7,0.482998648873181
1.8,0.535026479282073
1.9,0.58424058495699
2,0.630929753571457
2.1,0.675340474872037
2.2,0.717684817926211
2.3,0.758146555910886
2.4,0.796885986424988
2.5,0.83404376714647
2.6,0.869743998754865
2.7,0.904096725710615
2.8,0.937199982014953
2.9,0.969141477821278
3,1
3.1,1.02984658296763
3.2,1.0587454935679
3.3,1.08675506435475
3.4,1.11392840244464
3.5,1.14031399558996
3.6,1.16595623285353
3.7,1.19089585392889
3.8,1.21517033852845
3.9,1.23881424518341
4,1.26185950714291
4.1,1.28433569173057
4.2,1.3062702284435
4.3,1.32768861020829
4.4,1.34861457149767
4.5,1.36907024642854
4.6,1.38907630948234
4.7,1.40865210109035
4.8,1.42781573999644
4.9,1.44658422403346
5,1.46497352071793
