X,Result(X)
-5,0.958924274663139
-4.9,0.982452612624332
-4.8,0.996164608835841
-4.7,0.999923257564101
-4.6,0.993691003633465
-4.5,0.977530117665097
-4.4,0.951602073889516
-4.3,0.916165936749456
-4.2,0.87157577241359
-4.1,0.818277111064412
-4,0.756802495307931
-3.9,0.687766159183976
-3.8,0.611857890942722
-3.7,0.529836140908496
-3.6,0.442520443294856
-3.5,0.350783227689623
-3.4,0.255541102026835
-3.3,0.157745694143251
-3.2,0.0583741434275832
-3.1,-0.0415806624332878
-3,-0.141120008059865
-2.9,-0.23924932921398
-2.8,-0.334988150155903
-2.7,-0.427379880233828
-2.6,-0.515501371821462
-2.5,-0.598472144103955
-2.4,-0.675463180551149
-2.3,-0.745705212176719
-2.2,-0.808496403819589
-2.1,-0.863209366648873
-2,-0.909297426825681
-1.9,-0.946300087687414
-1.8,-0.973847630878195
-1.7,-0.991664810452469
-1.6,-0.999573603041505
-1.5,-0.997494986604055
-1.4,-0.98544972998846
-1.3,-0.963558185417193
-1.2,-0.932039085967227
-1.1,-0.891207360061436
-1,-0.841470984807897
-0.900000000000001,-0.783326909627484
-0.800000000000001,-0.717356090899524
-0.700000000000001,-0.644217687237692
-0.600000000000001,-0.564642473395036
-0.500000000000001,-0.479425538604204
-0.400000000000001,-0.389418342308651
-0.300000000000001,-0.295520206661341
-0.200000000000001,-0.198669330795062
-0.100000000000001,-0.0998334166468292
-1.02695629777827e-15,-1.02695629777827e-15
0.099999999999999,0.0998334166468271
0.199999999999999,0.19866933079506
0.299999999999999,0.295520206661339
0.399999999999999,0.38941834230865
0.499999999999999,0.479425538604202
0.599999999999999,0.564642473395035
0.699999999999999,0.64421768723769
0.799999999999999,0.717356090899522
0.899999999999999,0.783326909627483
0.999999999999999,0.841470984807896
1.1,0.891207360061435
1.2,0.932039085967226
1.3,0.963558185417193
1.4,0.98544972998846
1.5,0.997494986604055
1.6,0.999573603041505
1.7,0.991664810452469
1.8,0.973847630878195
1.9,0.946300087687414
2,0.909297426825682
2.1,0.863209366648874
2.2,0.80849640381959
2.3,0.74570521217672
2.4,0.675463180551151
2.5,0.598472144103957
2.6,0.515501371821464
2.7,0.42737988023383
2.8,0.334988150155905
2.9,0.239249329213981
3,0.141120008059866
3.1,0.0415806624332901
3.2,-0.0583741434275812
3.3,-0.15774569414325
3.4,-0.255541102026833
3.5,-0.350783227689621
3.6,-0.442520443294853
3.7,-0.529836140908494
3.8,-0.61185789094272
3.9,-0.687766159183975
4,-0.756802495307929
4.1,-0.818277111064411
4.2,-0.871575772413588
4.3,-0.916165936749455
4.4,-0.951602073889516
4.5,-0.977530117665097
4.6,-0.993691003633464
4.7,-0.999923257564101
4.8,-0.996164608835841
4.9,-0.982452612624333
5,-0.958924274663139
