X,Result(X)
-5,3.38051500624658
-4.9,5.26749306582674
-4.8,11.3848706542427
-4.7,-80.7127629674841
-4.6,-8.86017489564818
-4.5,-4.63733205455123
-4.4,-3.09632378064976
-4.3,-2.285847877367
-4.2,-1.77777977450885
-4.1,-1.42352648319438
-4,-1.15782128234959
-3.9,-0.947424649935899
-3.8,-0.773556090503132
-3.7,-0.624733075224568
-3.6,-0.493466729984908
-3.5,-0.374585640158599
-3.4,-0.264316900867429
-3.3,-0.159745747660035
-3.2,-0.0584738544595817
-3.1,0.0416166545856332
-3,0.142546543074275
-2.9,0.246405393971963
-2.8,0.355529831651173
-2.7,0.472727629103035
-2.6,0.601596613089756
-2.5,0.747022297238657
-2.4,0.916014289673406
-2.3,1.11921364173413
-2.2,1.37382305676879
-2.1,1.7098465429045
-2,2.18503986326151
-1.9,2.92709751467776
-1.8,4.28626167462803
-1.7,7.69660213945907
-1.6,34.2325327355557
-1.5,-14.101419947172
-1.4,-5.79788371548293
-1.3,-3.602102447968
-1.2,-2.57215162212633
-1.1,-1.96475965724866
-1,-1.55740772465491
-0.900000000000001,-1.26015821755034
-0.800000000000001,-1.02963855705037
-0.700000000000001,-0.842288380463081
-0.600000000000001,-0.684136808341694
-0.500000000000001,-0.546302489843792
-0.400000000000001,-0.422793218738163
-0.300000000000001,-0.309336249609624
-0.200000000000001,-0.202710035508674
-0.100000000000001,-0.100334672085452
-1.02695629777827e-15,-1.02695629777827e-15
0.099999999999999,0.10033467208545
0.199999999999999,0.202710035508671
0.299999999999999,0.309336249609622
0.399999999999999,0.42279321873816
0.499999999999999,0.546302489843789
0.599999999999999,0.684136808341691
0.699999999999999,0.842288380463078
0.799999999999999,1.02963855705036
0.899999999999999,1.26015821755034
0.999999999999999,1.5574077246549
1.1,1.96475965724865
1.2,2.57215162212632
1.3,3.60210244796796
1.4,5.79788371548288
1.5,14.1014199471715
1.6,-34.2325327355582
1.7,-7.69660213945917
1.8,-4.28626167462807
1.9,-2.92709751467778
2,-2.18503986326152
2.1,-1.70984654290451
2.2,-1.3738230567688
2.3,-1.11921364173413
2.4,-0.91601428967341
2.5,-0.74702229723866
2.6,-0.601596613089759
2.7,-0.472727629103038
2.8,-0.355529831651176
2.9,-0.246405393971965
3,-0.142546543074277
3.1,-0.0416166545856355
3.2,0.0584738544595798
3.3,0.159745747660034
3.4,0.264316900867427
3.5,0.374585640158596
3.6,0.493466729984905
3.7,0.624733075224565
3.8,0.773556090503128
3.9,0.947424649935895
4,1.15782128234958
4.1,1.42352648319437
4.2,1.77777977450884
4.3,2.28584787736698
4.4,3.09632378064974
4.5,4.63733205455117
4.6,8.86017489564799
4.7,80.7127629674644
4.8,-11.3848706542431
4.9,-5.26749306582681
5,-3.38051500624662
